label_action;tag_action;tag_operator;crm_case_subject;crm_case_category;crm_case_reason;active;Creation Case Auto
Suspension Routage Annonce;crt_n2_opts_SUSPRA_suppression;PROMOBILE;Gestion_Promobile;GEST-SUSPENSION_;GEST-SUS-SUSPENSION TOTALE POUR MOTIF VOL/PERTE_;true;true
VISIOPHONIE;crt_n2_opts_VISIO_suppression;PROMOBILE;;;;true;true
Wax ba tass;crt_n2_opts_WBT_suppression;PROMOBILE;;;;true;true
YieldZone;crt_n2_opts_YZ_suppression;PROMOBILE;;;;true;true
Orange Money - Envoi Code Woyofal;om_n2_opts_envoi_code_woyofal;PROMOBILE;;;;true;true
Orange Money - Test de paiement;om_n2_opts_test_paiement_om;PROMOBILE;;;;true;true
Modification numéro favorie;cons_rech_n2_opts_MODIF_NUM_FAV;PROMOBILE;Assistance_Promobile;ASS-USAGE VOIX_;ASS-USA-ET-SER-CHANGEMENT NUMERO FAVORI_;true;true
Contrat - Lien téléchargement OeM;crt_n2_lien_telechargement_oem;PROMOBILE;Assistance_Promobile;ASS-USAGES ET SERVICES ORANGE ET MOI_;ASS-USA-INT-MOB-ENVOI LIEN ORANGE ET MOI_;true;true
Orange Money - Vérification de l'Historique des transactions entre 2 numéros;om_n2_opts_verification_2_num;PROMOBILE;;;;true;true
Orange Money - Renvoyer la notification Tango par SMS;om_n2_opts_envoi_sms_transaction;PROMOBILE;;;;true;true
CRBT - Désactiver le DALAL;crbt_desactiver_dalal;SONATEL;Résiliation;RESILIATION-SVA;RES-SVA-DESACTIVATION SERVICE DALAL;true;true
CRBT - Activer le DALAL;crbt_activer_dalal;SONATEL;Gestion;GESTION-SVA;GEST-SVA-ACTIVATION SERVICE DALAL;true;true
CRBT - Supprimer le DALAL;crbt_supprimer_dalal;SONATEL;Gestion;GESTION-SVA;GEST-SVA-SUPPRESSION TONALITE SERVICE DALAL;true;true
CRBT - Activer le DALAL;crbt_activer_dalal;PROMOBILE;Gestion;GESTION-SVA;GEST-SVA-ACTIVATION SERVICE;true;true
CRBT - Désactiver le DALAL;crbt_desactiver_dalal;PROMOBILE;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
CRBT - Supprimer le DALAL;crbt_supprimer_dalal;PROMOBILE;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Contrat - ENVOI LIEN ORANGE MONEY;crt_n2_lien_telechargement_om;SONATEL;Assistance;ASSISTANCE-APPLICATION;ASS-APP-ENVOI LIEN TELECHARGEMENT ORANGE MONEY;true;true
Contrat - ENVOI LIEN ORANGE MONEY;crt_n2_lien_telechargement_om;PROMOBILE;Assistance;ASSISTANCE-APPLICATION;ASS-APP-ENVOI LIEN TELECHARGEMENT ORANGE MONEY;true;true
TVO PERTE DU CODE ADULTE;crt_n2_cesar_perte_code_tv;SONATEL;Assistance;ASSISTANCE-DERANGEMENT-TVO;ASS-DER-PERTE CODE PARENTAL OU ADULTE;true;true
TVO NON VISUALISATION DES CHAINES SOUSCRITES;crt_n2_cesar_non_visualisation_chaine;SONATEL;Assistance;ASS-DER-DERANGEMENT TVO;ASS-DER-TVO-NON VISUALISATION DES CHAINES SOUSCRITES;true;true
TVO PERTE DU MOT DE PASSE;crt_n2_cesar_perte_mot_de_passe;SONATEL;Assistance;ASS-DER-DERANGEMENT TVO;ASS-DER-TVO-PERTE DU MOT DE PASSE;true;true
Orange Money - ENVOI LIEN WEB OM;om_n2_lien_web_om;SONATEL;Assistance;ASSISTANCE-APPLICATION;ASS-APP-ENVOI LIEN TELECHARGEMENT ORANGE MONEY;true;true
Déconnecter la session RBS;deconnecter_session_rbs;SONATEL;ASS-Usage Services;ASS-USA-SER-DÉCONNECTER LA SESSION;PCCI-OP W2C-OP SITEL-GLOBAL SAVR RCD 1413 HV-TER 1413-KSERV;true;true
Déverrouillage compte RBS;deverrouillage_rbs;SONATEL;ASS-Usage Services;ASS-USA-SER-DÉVERROUILLAGE COMPTE;PCCI-OP W2C-OP SITEL-GLOBAL SAVR RCD 1413 HV-TER 1413-KSERV;true;true
Verrouillage compte RBS;verrouillage_rbs;SONATEL;ASS-Usage Services;ASS-USA-SER-VERROUILLAGE COMPTE;PCCI-OP W2C-OP SITEL-GLOBAL SAVR RCD 1413 HV-TER 1413-KSERV;true;true
Envoi Lien déplafonnement OM;crt_n2_lien_deplafonnement_om;SONATEL;Gestion;GESTION-OM;GEST-OM-DEPLAFONNEMENT;true;true
Désactiver compte Smartis;desactive_smartis;SONATEL;;;;true;true
Restaurer Contact Smartis;restaurer_smartis;SONATEL;;;;true;true
White Liste Numéro Recharge;crt_n2_opts_whitelist;SONATEL;Assistance;ASSISTANCE-WHITELIST ;ASS-WHI-LIST-NUMERO MOBILE;true;true
whitelister Customer Care;crt_n2_opts_whitelistcc;SONATEL;Assistance;ASSISTANCE-WHITELIST ;ASS-WHI-LIST-NUMERO MOBILE;true;true
Réinitialiser HOME_AREA Cell Lock;reinit_home_area;SONATEL;Assistance;ASS-SVA;ASS-SVA-REINITIALISATION HOME AREA;true;true
Activer Sargal;flytxt_activer_sargal;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-SARGAL-Flytxt;true;true
Désactiver Sargal;flytxt_desactiver_sargal;SONATEL;Résiliation;RESIL-RESILIATION;RESIL-RES-SARGAL-Flytxt;true;true
Annulation transaction OM;om_n2_otps_annulation_transaction;SONATEL;Assistance;ASSISTANCE-OM;ASS-OM-ANNULATION TRANSACTION NATIONALE;true;true
Contrat - Lien téléchargement Wido;crt_n2_lien_telechargement_wido;SONATEL;Assistance;ASSISTANCE-APPLICATION;ASS-APP-ENVOI LIEN WIDO;true;true
Envoi Facture par eMail;fact_n2_rub_fact_rec_mob_posthyb_envoi_facture_postpaye;SONATEL;Réclamation;RECLAMATION-FACTURE;REC-FAC-NON RECEPTION FACTURE FAL;true;true
Envoi Facture par SMS;fact_n2_rub_fact_rec_mob_posthyb_envoi_facture_sms;SONATEL;Réclamation;RECLAMATION-FACTURE;REC-FAC-NON RECEPTION FACTURE FAL;true;true
Blacklister Sargal;flytxt_blacklister_sargal;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-SARGAL-Flytxt;true;true
Whitelister Sargal;flytxt_whitelister_sargal;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-SARGAL-Flytxt;true;true
Lien tontou whatsapp care;crt_n2_lien_tontou_whatsapp;SONATEL;ASSISTANCE;ASSISTANCE-APPLICATION;ASS-APP-ENVOI LIEN whatsapp care tontou;true;true
Reinitialisation Code secret Seddo P2P;seddo_n2_opts_reset_p2p;SONATEL;ASSISTANCE;ASSISTANCE-APPLICATION;ASS-REINITIALISATION CODE PIN SEDDO;true;true
Service 5G;crt_n2_opts_5G_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Service 5G;crt_n2_opts_5G_suppression;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Changer SSID 24;papyrus_changer_ssid24;SONATEL;;;;true;true
Changer Password 24;papyrus_changer_password24;SONATEL;;;;true;true
Changer SSID 5GH;papyrus_changer_ssisd5;SONATEL;;;;true;true
Changer password 5GH;papyrus_changer_password5;SONATEL;;;;true;true
Reboot Modem;papyrus_reboot;SONATEL;;;;true;true
