label_action;tag_action;tag_operator;crm_case_subject;crm_case_category;crm_case_reason;active;Creation Case Auto
Restriction Roaming;crt_n2_opts_SVC_ROAMING_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Service SMS;crt_n2_opts_SVC_SMS_MOMT_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Restriction appels sortants;crt_n2_opts_SVC_USER_BAOC_activer;SONATEL;;;;true;true
Restriction appels sortants vers l'international (IDD);crt_n2_opts_SVC_USER_BOICC_activer;SONATEL;;;;true;true
Messagerie vocale;crt_n2_opts_SVC_VMS_activer;SONATEL;Gestion;GEST-ACTIVATION;GEST-ACT-BOITE VOCALE  FRANCAISE;true;true
Service 3G;crt_n2_opts_SVC_3G_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Appel Video;crt_n2_opts_SVC_3GVISIO_desactiver;SONATEL;;;;true;true
Service Anti Bill Shock (ABS);crt_n2_opts_SVC_ABS_desactiver;SONATEL;;;;true;true
Service Basic Data;crt_n2_opts_SVC_BDATA_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Service Basic Fax;crt_n2_opts_SVC_BFAX_desactiver;SONATEL;;;;true;true
Service Blackberry;crt_n2_opts_SVC_BLBE_desactiver;SONATEL;;;;true;true
Telephonie de base;crt_n2_opts_SVC_BTEL_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Renvoi si ligne occupee;crt_n2_opts_SVC_CFBUSY_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Renvoi si non accessible;crt_n2_opts_SVC_CFNREACH_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Renvoi si pas de reponse;crt_n2_opts_SVC_CFNREPLY_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Renvoi d'appel inconditionnel;crt_n2_opts_SVC_CFUNCOND_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Signal d'appel;crt_n2_opts_SVC_CHS_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
CLIP - Presentation du numero;crt_n2_opts_SVC_CLIP_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
CLIR - Liste rouge;crt_n2_opts_SVC_CLIR_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
RingBack Tone;crt_n2_opts_SVC_CRBT_desactiver;SONATEL;;;;true;true
Transfert d'appel;crt_n2_opts_SVC_CTS_desactiver;SONATEL;;;;true;true
Appel en attente;crt_n2_opts_SVC_CWS_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
GPRS, inclus Internet + Wap + MMS;crt_n2_opts_SVC_GPRS_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Gratuite gprs;crt_n2_opts_SVC_GRATUITE_GPRS_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Gratuite SMS;crt_n2_opts_SVC_GRATUITE_SMS_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Service LTE (4G);crt_n2_opts_SVC_LTE_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Conference;crt_n2_opts_SVC_MPTY_desactiver;SONATEL;;;;true;true
Restriction operateur appels entrants;crt_n2_opts_SVC_OPER_BARRIN_desactiver;SONATEL;Gestion;GEST-RECOUVREMENT;GEST-REC-SUSPENSION SUITE IMPAYES;true;true
Restriction operateur appels sortants;crt_n2_opts_SVC_OPER_BARROUT_desactiver;SONATEL;Gestion;GEST-RECOUVREMENT;GEST-REC-SUSPENSION SUITE IMPAYES;true;true
Restriction Roaming;crt_n2_opts_SVC_ROAMING_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Service SMS;crt_n2_opts_SVC_SMS_MOMT_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Restriction appels sortants;crt_n2_opts_SVC_USER_BAOC_desactiver;SONATEL;;;;true;true
Restriction appels sortants vers l'international (IDD);crt_n2_opts_SVC_USER_BOICC_desactiver;SONATEL;;;;true;true
Messagerie vocale;crt_n2_opts_SVC_VMS_desactiver;SONATEL;Résiliation;RESILIATION-SERVICE;RES-SER-DESACTIVATION DE SERVICE;true;true
Suspention TOTALE de la Souscription;crt_n2_opts_SUSPEND_TOTALE;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE DE SUSPENSION TOTALE;true;true
Suspention PARTIELLE de la Souscription;crt_n2_opts_SUSPEND_PARTIELLE;SONATEL;Gestion;GESTION-SIM;GEST-SIM-DEMANDE SUSPENSION PARTIELLE;true;true
Retablissement Total Souscription;crt_n2_opts_RESUME_TOTALE;SONATEL;Gestion;GESTION-RETABLISSEMENT;GEST-RET-DEMANDE DE RETABLISSEMENT;true;true
Seddo (Distributeurs) > Réinitialisation Code Secret SEDDO;seddo_n2_opts_reset;SONATEL;Gestion;ACHAT-SEDDO;ACH-SED-ACTIVATION DANS PRETUPS;true;true
Seddo (Distributeurs) > Déblocage Code Secret SEDDO;seddo_n2_opts_ubar;SONATEL;Gestion;ACHAT-SEDDO;ACH-SED-ACTIVATION DANS PRETUPS;true;true
Seddo (Distributeurs) > Déblocage et Réinitialisation Code Secret SEDDO;seddo_n2_opts_ubar_reset;SONATEL;Gestion;ACHAT-SEDDO;ACH-SED-ACTIVATION DANS PRETUPS;true;true
Seddo (Distributeurs) > Demande de Blocage Code Secret SEDDO;seddo_n2_opts_bar;SONATEL;Gestion;GESTION-SEDDO;GEST-SED-SUSPENSION SIM;true;true
Seddo (Distributeurs) > Réactivation menu e-recharge;seddo_n2_opts_resume;SONATEL;Gestion;ASSISTANCE-SEDDO;ASS-SED-USAGES SEDDO;true;true
Orange Money - Envoi Code Woyofal;om_n2_opts_envoi_code_woyofal;SONATEL;Assistance;ASSISTANCE-OM;ASS-OM-ASSISTANCE RENVOI CODE ;true;true
Orange Money - Test de paiement;om_n2_opts_test_paiement_om;SONATEL;Assistance;ASS-MONEY PAIEMENT FACTURE;ASS-MON-PAI-FAC-TEST DE PAIEMENT;true;true
Modification numéro favorie;cons_rech_n2_opts_MODIF_NUM_FAV;SONATEL;Assistance;RECLAMATION-USAGES;REC-USA-ERREUR ENREGISTREMENT NUMERO FAVORI;true;true
Contrat - Lien téléchargement MAXIT;crt_n2_lien_telechargement_oem;SONATEL;Assistance;ASSISTANCE-APPLICATION;ASS-APP-ENVOI LIEN TELECHARGEMENT MAX IT;true;true
ACTIVATION COMPTE TV;crt_n2_activation_compte_tv;SONATEL;Gestion;GEST-ACTIVATION TVO;GEST-ACT-TVO-ACTIVATION COMPTE TV;true;true
DESACTIVATION COMPTE TV;crt_n2_desactivation_compte_tv;SONATEL;Résiliation;RESIL-COMPTE TVO;RESIL-COMPTE TVO-DESACTIVATION COMPTE TV;true;true
Orange Money - Renvoyer la notification Tango par SMS;om_n2_opts_envoi_sms_transaction;SONATEL;Assistance;ASS-MONEY GESTION DE COMPTE;ASS-MON-GES-DE-COM-RENVOI DE LA NOTIFICATION TANGO PAR SMS;true;true
Orange Money - Vérification de l'Historique des transactions entre 2 numéros;om_n2_opts_verification_2_num;SONATEL;Demande d'assistance;ASS-MONEY GESTION DE COMPTE;ASS-MON-GES-DE-COM-VERIFICATION DE L'HISTORIQUE DE TRANSACTIONS ENTRE DEUX NUMEROS;true;true
Contrat Mobile - Envoyer les paramètres pour mettre à jour le terminal du client ;crt_n2_opts_send_all_setting;PROMOBILE;Assistance_Promobile;ASS-PARAMETRAGE INTERNET MOBILE_;ASS-PAR-INT-MOB-VIA ADM_;true;true
Contrat Mobile - Action de génération du code de la carte suite soucis carte male grattée;cons_rech_n2_opts_voucher_code;PROMOBILE;Réclamation_Promobile;REC-Usage Services_;REC-Usa-Ser-CARTE CODE ILLISIBLE_;true;true
Contrat Mobile - Action de vérification de carte de recharge;cons_rech_n2_opts_voucher_carte;PROMOBILE;Réclamation_Promobile;REC-Usage Services_;REC-Usa-Ser-CARTE CODE ILLISIBLE_;true;true
Orange Money - Réinitialisation Code Secret OM;om_n2_otps_RESTPIN;PROMOBILE;;;;true;true
Orange Money - Action de Réactivation du compte Orange Money;om_n2_otps_RESUME;PROMOBILE;;;;true;true
Orange Money - Action de Déblocage et Réinitialisation Code Secret OM;om_n2_otps_UNBARE_RESTPIN;PROMOBILE;;;;true;true
Orange Money - Action de Déblocage Code Secret OM;om_n2_otps_UNBAR;PROMOBILE;;;;true;true
Orange Money - Action de Suspension de compte Orange Money;om_n2_otps_SUSPEND;PROMOBILE;;;;true;true
Service 3G;crt_n2_opts_3G_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-SERVICE DATA 3G_;true;true
Messagerie Vocale(Francais);crt_n2_opts_BAOC_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-BOITE VOCALE FRANCAISE_;true;true
Ring Back Tone;crt_n2_opts_CRBT_ajout;PROMOBILE;;;;true;true
Mes Numéros Préférés Orange;crt_n2_opts_FnF_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-ENREGISTREMENT NUMERO FAVORI_;true;true
Package GPRS/MMS/EDGE;crt_n2_opts_GPRS_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-SERVICE DATA GPRS_;true;true
Presentation du Numero;crt_n2_opts_IDAP_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-ACTIVATION PRESENTATION NUMERO_;true;true
Appel International;crt_n2_opts_IDD_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-ROAMING_;true;true
IDENTIF-Suspension partielle;crt_n2_opts_ISUSPP_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-SUSPENSION PARTIELLE POUR MOTIF VOL/PERTE_;true;true
IDENTIF-Suspension Totale;crt_n2_opts_ISUSPT_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-SUSPENSION TOTALE POUR MOTIF VOL/PERTE_;true;true
Service 4G;crt_n2_opts_LTE_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-SERVICE DATA 4G_;true;true
Option sans frontières;crt_n2_opts_MON_ajout;PROMOBILE;Gestion_Promobile;GEST-ACTIVATION_;GEST-ACT-ROAMING_;true;true
