"sujet";"categorie";"motif"
Assistance;ASSISTANCE-TECHNIQUE NRJ;ASS-TEC-NRJ-DYSFONCTIONNEMENT SUR TORCHE
Assistance;ASSISTANCE-TECHNIQUE NRJ;ASS-TEC-NRJ-DYSFONCTIONNEMENT SUR TV
Assistance;ASSISTANCE-TECHNIQUE NRJ;ASS-TEC-NRJ-DYSFONCTIONNEMENT TELECOMMANDE
Assistance;ASSISTANCE-TECHNIQUE NRJ;ASS-TEC-NRJ-MATERIEL DEFECTUEUX HORS GARANTIE
Assistance;ASSISTANCE-TECHNIQUE NRJ;ASS-TEC-NRJ-PERTE MATERIEL HORS GARANTIE
Assistance;ASSISTANCE-TECHNIQUE NRJ;ASS-TEC-NRJ-SAISIE CODE JETON
Assistance;ASSISTANCE-TECHNIQUE NRJ;ASS-TEC-NRJ-SOUCI AUTONOMIE SUR BATTERIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ACH-COM-MODIFICATION CONTENU DU KIT_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-PANNEAU DEFECTUEUX_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-PANNEAU NE CHARGE PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC- CABLES DEFECTUEUX_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC- ERAN TV CASSE _ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC_ECRAN TV NOIR/BLANC OU BLEU
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-AIDE UTILISATION DES MENUS TV_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-ASSISTANCE RECHARGEMENT PAR OM_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE DECHARGE TROP VITE_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE DECHARGE TROP VITE_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE DESACTIVEE_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE DESACTIVEE_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE NE CHARGE PAS LONGTEMPS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE NE CHARGE PAS LONGTEMPS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE NE CHARGE PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE NE CHARGE PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE NE S'ALLUME PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-BATTERIE NE S'ALLUME PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-CHAINES NON DISPONIBLES_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-CHAINES TV NON DISPONIBLES_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-CONFIGURATION TELE_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-DEPLACEMENT DE KIT_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-FICHE ANTENNE TV DEFECTUEUSE _ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-FICHE ANTENNE TV DEFECTUEUSE _ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-IMAGES SANS SON_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-LAMPE NE S'ALLUME PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-LAMPES MAL ACCROCHEES_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-LUMINOSITE LAMPES  FAIBLE_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-LUMINOSITE TORCHE FAIBLE_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-NRJ-DYSFONCTIONNEMENT SUR CABLE USB
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-NRJ-SOUCI IMAGE _ SON
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-PANNEAU DEFECTUEUX_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-Port USB batterie HS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-PROCESS RECHARGEMENT CREDIT_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-RADIO N EMET PAS DE SON_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-RADIO NE CAPTE PAS DE FREQUENCE_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-RADIO NE CHARGE PAS/S'ALLUME PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-RADIO NE PRODUIT PAS DE SON_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-RADIO NE RECOIT PAS DE CHAINES_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-RADIO/PB LECTURE CARTE/CLEF_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-SON SANS IMAGES_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-SOUCI CHARGEMENT DES TELEPHONES_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-TELE NE S'ALLUME PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-Télécommande HS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-TORCHE NE S'ALLUME PAS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;ASS-TEC-USB CHARGEUR HS_ORANGE ENERGIE
Assistance;ASSISTANCE-TECHNIQUE_ORANGE ENERGIE;GEST-MODIFICATION CONTACT PREFERE_ORANGE ENERGIE
Assistance;ASSISTANCE-TERMINAUX;ASS-TER-PARAMETRAGE TELEPHONE
Assistance;ASSISTANCE-TERMINAUX;ASS-TER-TERMINAL DEFECTUEUX 
Assistance;ASSISTANCE-TVO;ASS-TVO-ASSISTANCE INSTALLATION TVO
Assistance;ASSISTANCE-TVO;ASS-TVO-ASSISTANCE SOUSCRIPTION 
Assistance;ASSISTANCE-TVO;ASS-TVO-ASSISTANCE SUR CODE CONFIDENTIEL
Assistance;ASSISTANCE-TVO;ASS-TVO-ASSISTANCE SUR CONTRÔLE DU DIRECT
Assistance;ASSISTANCE-TVO;ASS-TVO-ASSISTANCE SUR ENREGISTREMENT PROGRAMME
Assistance;ASSISTANCE-TVO;ASS-TVO-ASSISTANCE SUR VOD
Assistance;ASSISTANCE-TVO;ASS-TVO-DEMANDE IDENTIFIANT TVO
Assistance;ASSISTANCE-TVO;ASS-TVO-INSTALLATION/UTILISATION MYCANAL
Assistance;ASSISTANCE-TVO;ASS-TVO-SOUCI DE SOUSCRIPTION SUR LE SITE
Assistance;ASSISTANCE-USAGES;ASS-USA- ASSISTANCE ABONNEMENT
Assistance;ASSISTANCE-USAGES;ASS-USA -SERVICES ADDITIONNELS NON ACTIVES
Assistance;ASSISTANCE-USAGES;ASS-USA-ASSISTANCE ACCES RESEAUX SOCIAUX
Assistance;ASSISTANCE-USAGES;ASS-USA-CODE SRC BLOQUE
Assistance;ASSISTANCE-USAGES;ASS-USA-SERVICES ADDITIONNELS NON FONCTIONNELS
Assistance;ASSISTANCE-USAGES;ASS-USA-SOUSCRIPTION SERVICES
Assistance;ASSISTANCE-USAGES;ASS-USA-UTILISATION CANAUX DIGITAUX
Assistance;ASSISTANCE-WHITELIST ;ASS-WHI-LIST-NUMERO MOBILE
Assistance;ASSISTANCE-XEWEUL;ASS-ABONNEMENT GOLD (DIASPORA) –WIDO
Assistance;ASSISTANCE-XEWEUL;ASS-ABONNEMENT GOLD (DIASPORA) –WIDO
Assistance;ASSISTANCE-XEWEUL;ASS-USA ET SER-XEW-VENTE ILLIMIX – PASS
Assistance;ASSISTANCE-XEWEUL;ASS-USA-ET-SER-OM-VERIFICATION DE TRANSACTION VENTE PASS OU ILLIMIX XEWEUL
Assistance;ASSISTANCE-XEWEUL;ASS-XEW-ASSISTANCE VENTE XEWEUL
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION _OLD_DU CONTROLE PARENTAL
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION CODE DE SECURITE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION CODE SRC
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION CONTROLE DU DIRECT
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION ENREGISTREMENT DU DIRECT
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION FILTRAGE EMISSION D'APPELS
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION FILTRAGE RECEPTION D'APPELS
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION MOT DE PASSE WIFI
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION MOT DE PASSE WIFI MOBILE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ACTIVATION OPTION DONNEES MOBILES
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-BRANCHEMENT OLD_POSTE TELEPHONIQUE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-BRANCHEMENT_MJ_ POSTE TELEPHONIQUE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-CHOIX DU RÉSEAU
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-CHOIX SONNERIE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-DESACTIVATION CODE DE SECURITE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-DESACTIVATION FILTRAGE EMISSION D'APPELS
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-DESACTIVATION FILTRAGE RECEPTION D'APPELS
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-DESACTIVATION MOT DE PASSE WIFI
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-DESACTIVATION MOT DE PASSE WIFI MOBILE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-DESACTIVATION OLD_CODE SRC
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-DEVERROUILLAGE APPAREIL
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-ENVOI SMS/MMS
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-GESTIONNAIRE DE SIM 
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-GUIDE D'INSTALLATION
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-GUIDE D'UTILISATION
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-INSTALLATION UTILISATION MYCANAL
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-MODIFICATION CODE DE SECURITE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-MODIFICATION MOT DE PASSE WIFI
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-MODIFICATION MOT DE PASSE WIFI MOBILE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-MODIFICATION NOM WIFI
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-MODIFICATION NOM WIFI MOBILE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-UTILISATION CLAVIER
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-UTILISATION_OLD_ TELECOMMANDE
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-VERROUILLAGE APPAREIL
Assistance;ASS-MANIPULATION TERMINAUX;ASS-MAN-TER-VOLUME D'ECOUTE 
Assistance;ASS-MONEY;ASS-MONEY ANNULATION TRANSACTION SUITE ERREUR TRANSFERT NATIONAL
Assistance;ASS-MONEY;ASS-MONEY ANNULATION TRANSACTION SUITE ERREUR TRANSFERT NATIONAL
Assistance;ASS-MONEY;ASS-MONEY BLOCAGE TRANSACTION SUITE ERREUR TRANSFERT NATIONAL
Assistance;ASS-MONEY;ASS-MONEY BLOCAGE TRANSACTION SUITE ERREUR TRANSFERT NATIONAL
Assistance;ASS-MONEY;SOLDE SUPERIEUR A 5000F ORIENTE AU 77144101 CANAL WHATSAPP AWA
Assistance;ASS-MONEY;SUPPRESSION COMPTE OM CLIENT AVEC SOLDE
Assistance;ASS-MONEY;SUPPRESSION ENRÔLEMENT WELI
Assistance;ASS-MONEY  PROMOTION/JEUX/INF SMS MT;ASS-MON-PRO-SMS-MT-EXPLICATION SMS  CONC. ARNAQUE
Assistance;ASS-MONEY  PROMOTION/JEUX/INF SMS MT;ASS-MON-PRO-SMS-MT-EXPLICATION SMS CONC. IDENTIFICATION
Assistance;ASS-MONEY  PROMOTION/JEUX/INF SMS MT;ASS-MON-PRO-SMS-MT-EXPLICATION SMS CONC. OFFRE
Assistance;ASS-MONEY  PROMOTION/JEUX/INF SMS MT;ASS-MON-PRO-SMS-MT-FONCTIONNEMENT GENERAL JEU
Assistance;ASS-MONEY  PROMOTION/JEUX/INF SMS MT;ASS-MON-PRO-SMS-MT-FONCTIONNEMENT GENERAL PROMOTION
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-BONUS PROMO RECHARGE NON RECU
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-DEMANDE D'INFORMATION (PRINCIPE,ELIGIBILITE)
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-DIFFICULTE D'UTILISATION APP
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-DIFFICULTE D'UTILISATION USSD
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-ECHEC CAUSE STATUT_BENEFICIAIRE
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-ECHEC CAUSE STATUT_EXPEDITEUR
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-ECHEC TRANSACTION
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-ERREUR DE TRANSACTION_MONTANT SAISI ERRONE
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-ERREUR DE TRANSACTION_NUMERO SAISI ERRONE
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-SEUIL DE TRANSACTION (MONTANT-NBRE-FREQ)
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-TARIF/COUT DE TRANSACTION
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-VERIFICATION DE TRANSACTION (CREDIT POUR SOI)
Assistance;ASS-MONEY ACHAT DE CREDIT;ASS-MON-ACH-DE-CRE-VERIFICATION DE TRANSACTION (CREDIT POUR UN TIERS)
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-BONUS PROMO RECHARGE NON RECU
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-DEMANDE D'INFORMATION (PRINCIPE,ELIGIBILITE)
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-DIFFICULTE D'UTILISATION APP
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-DIFFICULTE D'UTILISATION USSD
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-ECHEC CAUSE STATUT_BENEFICIAIRE
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-ECHEC CAUSE STATUT_EXPEDITEUR
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-ECHEC TRANSACTION
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-ERREUR DE TRANSACTION_MONTANT SAISI ERRONE
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-ERREUR DE TRANSACTION_NUMERO SAISI ERRONE
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-SEUIL DE TRANSACTION (MONTANT-NBRE-FREQ)
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-TARIF/COUT DE TRANSACTION
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-VERIFICATION DE TRANSACTION (PASS POUR UN TIERS)
Assistance;ASS-MONEY ACHAT DE PASS;ASS-MON-ACH-DE-PAS-VERIFICATION DE TRANSACTION PASS POUR SOI)
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-BONUS PROMO RECHARGE NON RECU
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-DEMANDE D'INFORMATION (PRINCIPE,ELIGIBILITE)
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-DIFFICULTE D'UTILISATION APP
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-DIFFICULTE D'UTILISATION USSD
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-ECHEC CAUSE STATUT_BENEFICIAIRE
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-ECHEC CAUSE STATUT_EXPEDITEUR
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-ECHEC TRANSACTION
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-ERREUR DE TRANSACTION_MONTANT SAISI ERRONE
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-ERREUR DE TRANSACTION_NUMERO SAISI ERRONE
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-SEUIL DE TRANSACTION (MONTANT-NBRE-FREQ)
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-TARIF/COUT DE TRANSACTION
Assistance;ASS-MONEY ACHAT D'ILLIMIX;ASS-MON-ACH-D'I-VERIFICATION DE TRANSACTION (ILLIMIX POUR SOI)
Assistance;ASS-MONEY B2W;ASS-MON-B2W-DEMANDE D'INFORMATION (PRINCIPE,ELIGIBILITE)
Assistance;ASS-MONEY B2W;ASS-MON-B2W-DIFFICULTE D'UTILISATION BANQUE VERS  OM_APP
Assistance;ASS-MONEY B2W;ASS-MON-B2W-DIFFICULTE D'UTILISATION BANQUE VERS  OM_USSD
Assistance;ASS-MONEY B2W;ASS-MON-B2W-DIFFICULTE D'UTILISATION OM VERS BANQUE_APP
Assistance;ASS-MONEY B2W;ASS-MON-B2W-DIFFICULTE D'UTILISATION OM VERS BANQUE_USSD
Assistance;ASS-MONEY B2W;ASS-MON-B2W-ECHEC CAUSE STATUT_COMPTE BANQUE
Assistance;ASS-MONEY B2W;ASS-MON-B2W-ECHEC CAUSE STATUT_COMPTE OM
Assistance;ASS-MONEY B2W;ASS-MON-B2W-ECHEC TRANSACTION
Assistance;ASS-MONEY B2W;ASS-MON-B2W-ERREUR DE TRANSACTION_MONTANT SAISI ERRONE
Assistance;ASS-MONEY B2W;ASS-MON-B2W-ERREUR DE TRANSACTION_NUMERO SAISI ERRONE
Assistance;ASS-MONEY B2W;ASS-MON-B2W-NOTIFICATION NON RECUE_ B2W -OM
Assistance;ASS-MONEY B2W;ASS-MON-B2W-NOTIFICATION NON RECUE_OM -B2W
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-DEMANDE D'INFORMATION (PRINCIPE,ELIGIBILITE)
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-ECHEC DEPOT_CAUSE PLAFONNEMENT
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-ECHEC TRANSACTION
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-ERREUR DE TRANSACTION_MONTANT SAISI ERRONE
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-ERREUR DE TRANSACTION_NUMERO SAISI ERRONE
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-INDISPONIBILITE D'UV EN PDV
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-NON RECEPTION D'UV SUITE DEPOT
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-NOTIFICATION NON RECUE
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-SEUIL DE TRANSACTION (MONTANT-NBRE-FREQ)
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-TARIF/COUT DE TRANSACTION
Assistance;ASS-MONEY DEPOT;ASS-MON-DEP-VERIFICATION DE TRANSACTION
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-DEMANDE D'INFORMATION (PRINCIPE,ELIGIBILITE)
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-DIFFICULTE D'UTILISATION APP
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-DIFFICULTE D'UTILISATION USSD
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-ECHEC CAUSE STATUT_BENEFICIAIRE
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-ECHEC CAUSE STATUT_CLIENT
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-ECHEC TRANSACTION
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-ERREUR DE TRANSACTION_BENEFICIAIRE SAISI ERRONE
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-ERREUR DE TRANSACTION_MONTANT SAISI ERRONE
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-NOTIFICATION NON RECUE
Assistance;ASS-MONEY DONS ET COTISATIONS;ASS-MON-DON-ET-COT-VERIFICATION DE TRANSACTION
Assistance;ASS-MONEY DONS ET COTISATIONS;Echec suite autre cotisation
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-CODE OTP DELAI DEPASSE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-CODE OTP NON RECU
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-CODE OTP NON VALIDE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-DIFFICULTE D'UTILISATION _ CODE OTP _ APP
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-DIFFICULTE D'UTILISATION _ CODE OTP _ USSD
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-ERREUR SOMME PERCUE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-BONUS USAGE NON RECU
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-CARTE AVALEE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-CODE OTP DELAI DEPASSE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-CODE OTP NON RECU
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-CODE OTP NON VALIDE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-CODE OTP SUPPRIME PAR ERREUR
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-DEMANDE D'INFORMATION (PRINCIPE,ELIGIBILITE)
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-DIFFICULTE D'UTILISATION _ CODE OTP _ APP
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-DIFFICULTE D'UTILISATION _ CODE OTP _ USSD
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-ECHEC INDISPONIBILITE DE CASH
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-ECHEC INDISPONIBILITE D'UV
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-ECHEC TRANSACTION
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-ERREUR SOMME PERCUE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-MONTANT_DEBITE ARGENT NON RECU
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-NOTIFICATION NON RECUE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-RETARD  ACTIVATION CARTE
Assistance;ASS-MONEY GUICHET AUTOMATIQUE;ASS-MON-GUI-AUT-VERIFICATION SOLDE
Assistance;ASS-MONEY OPERATIONS SUSPECTES;ASS-MON-OPE-SUS-ARNAQUE
Assistance;ASS-MONEY OPERATIONS SUSPECTES;ASS-MON-OPE-SUS-CAS DOUTEUX
Assistance;ASS-MONEY OPERATIONS SUSPECTES;ASS-MON-OPE-SUS-VERIFICATION DE TRANSACTION
Assistance;ASS-MONEY OPERATIONS SUSPECTES;ASS-OPE-SUS-ARNAQUE
Assistance;ASS-MONEY OPERATIONS SUSPECTES;ASS-OPE-SUS-CAS DOUTEUX
Assistance;ASS-MONEY OPERATIONS SUSPECTES;ASS-OPE-SUS-VERIFICATION DE TRANSACTION
Assistance;ASS-MONEY PAIEMENT MARCHAND;ASS-MON-PAI-ASSISTANCE ANNULATION TRANSACTION
