"sujet";"categorie";"motif"
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-LIGNE INSTALLEE TECHNIQUEMENT A MSV
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-LIVRAISON  NON CONFORME - DÉJÀ MSV
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-LIVRAISON NON CONFORME
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-MIGRATION DELAIS DEPASSES
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-MISE EN SERVICE SANS INSTALLATION
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-MODEM NON LIVRE
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-MODIFICATION INSTALLATION NON EFFECTIVE
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-NOUVEL ABONNEMENT LIGNE DANS LES DELAIS
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-NOUVEL ABONNEMENT LIGNE DELAIS DEPASSES
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-RECONDUCTION  TARDIVE
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-RECONDUCTION DE LA LIGNE
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-TRANSFERT LIGNE NON INSTALLEE DANS LES DELAIS
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-TVO NON INSTALLEE DANS LES DELAIS
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-TVO NON INSTALLEE DELAIS DEPASSE
Achat;ACHAT-CAMPAGNE RETENTION;ACH-CAM-RET-TVO NON INSTALLEE-DEMANDE VIACC EN COURS
Achat;ACHAT-CAMPAGNE RETENTION;ASS-DER-CAM-RET-SOUCIS DE CONNEXION
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI- IPP CLIENT INJOIGNABLE PASS 30GO A POSITIONNER 
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-AJOUT BOUQUET CANAL
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-AJOUT BOUQUET CHAINE CANAL
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-AJOUT CHAINE TVO
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-AJOUT DE PRISE SUPPLEMENTAIRE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-AJOUT SERVICE TVO-AJOUT CHAINE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-ANNULATION OU MODIFICATION DE LA DEMANDE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-DEMANDE DE TRANSFERT DE LIGNE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-FIABILISATION – DEMANDE NOUVEL ABONNEMENT LIGNE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-INCOMPREHENSION SMS SUIVI DE COMMANDE RECU
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-INF-INFO SUR SMS SUIVI DE COMMANDE RECU
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-MIGRATION LIGNE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-MODIFICATION D'INSTALLATION
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-NON RECEPTION SMS SUIVI DE COMMANDE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-NOUVEL ABONNEMENT LIGNE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-RAJOUT EQUIPEMENT
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-RECONDUCTION COMPTE INTERNET
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-RECONDUCTION LIGNE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-REIT-TÉLÉPHONE FIXE NON LIVRE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-RELANCE VENTE EN LIGNE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-CLI-TÉLÉPHONE FIXE NON LIVRE
Achat;ACHAT-COMMANDE CLIENT;ACH-COM-LIV-DECODEUR NON LIVRE
Achat;ACHAT-COMMANDE CLIENT;ACH-DEM-DE -MOD-DE-COM-CLI-AJOUT 2e DECODEUR
Achat;ACHAT-COMMANDE CLIENT;REC-ACH-GEST CO
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM- RETARD INSTALLATION LIGNE
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-AJOUT DE PRISE SUPPLEMENTAIRE DANS LES DELAIS
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-AJOUT DE PRISE SUPPLEMENTAIRE DELAIS DEPASSES
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-ANNULATION OU MODIFICATION DE LA DEMANDE
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-CARTE VIAC NON LIVREE
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-CESSION NON EFFECTIVE 
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-CESSION NON EFFECTIVE DELAIS DEPASSES
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-DEMANDE AGENCE NON SAISIE SUR LE SI
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-DEMANDE MSV NA - SOUCI CONNEXION
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-DEMANDE MSV NA - SOUCI VOIP
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-DEMANDE MSV NA SERVICE INTERNET ET VOIP OK
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-LIGNE INSTALLEE TECHNIQUEMENT A MSV
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-LIGNE INSTALLEE TECHNIQUEMENT A MSV
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-LIGNE INSTALLEE TECHNIQUEMENT A MSV
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-LIGNE MISE EN SERVICE SANS INSTALLATION
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-LIGNE MSV LIVRAISON  NON CONFORME
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-MIGRATION LIGNE DANS LES DELAIS
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-MIGRATION LIGNE HORS DELAI
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-MISE EN SERVICE SANS INSTALLATION
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-MODIFICATION D'INSTALLATION DANS LES DELAIS
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-MODIFICATION D'INSTALLATION DELAIS DEPASSES
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-MODIFICATION D'INSTALLATION HORS DELAI
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-NOUVEL ABONNEMENT LIGNE DANS LES DELAIS
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-NOUVEL ABONNEMENT LIGNE HORS DELAI
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-PROVISIONNING NON EFFECTIF
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-TELECOMMANDE NON LIVREE
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-TRANSFERT LIGNE NON INSTALLEE DANS LES DELAIS
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-TRANSFERT LIGNE NON INSTALLEE HORS DELAI 
Achat;ACHAT-COMMANDE LIVRAISON;ACH-COM-LIV-TVO NON INSTALLEE 
Achat;ACHAT-COMMANDE NRJ;ACH-COM-NRJ-RECONDUCTION
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH -COM-CONFIRMATION PAIEMENT ACOMPTE_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH -COM-Demande remboursement FAS_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH -COM-PAIEMENT ACOMPTE PAR OM_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM- ACCESSOIRES COMPATIBLES_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM- ACCESSOIRES MANQUANTS_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM- ACCESSOIRES MANQUANTS_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM- DEPLACEMENT DE KIT_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM- INSTALLATION NON SECURISEE_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM- REPROGRAMMATION RV D'INSTALLATION_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM- RETARD  INSTALLATION_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM-INFOS SRC ( CANAL+, TNT+…)_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM-NON RECEPTION DU CONTRAT_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM-RETARD  INSTALLATION_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-COM-RETRACTATION_ORANGE ENERGIE
Achat;ACHAT-COMMANDE_ORANGE ENERGIE;ACH-INF-COM-REPROGRAMMATION RV D'INSTALLATION_ORANGE ENERGIE
Achat;ACHAT-CREDIT;ACH-CRE- INFORMATION, TARIFICATION
Achat;ACHAT-ESHOP;ACH-ESHOP-LIVRAISON NON CONFORME
Achat;ACHAT-ESHOP;ACH-ESHOP-RETARD LIVRAISON
Achat;ACHAT-ESHOP;ACH-ESHOP-SUIVI COMMANDE
